,Film,Year,Rotten Tomatoes' Top 100
0,The Godfather,1972,17
1,Citizen Kane,1941,2
2,Casablanca,1942,8
3,"The Godfather, Part II",1974,99
4,Singin' in the Rain,1952,52
5,Psycho,1960,88
6,Rear Window,1954,47
7,Apocalypse Now,1979,unranked
8,2001: A Space Odyssey,1968,unranked
9,Seven Samurai,1954,49
10,Vertigo,1958,unranked
11,Sunset Blvd,1950,21
12,Modern Times,1936,4
13,Lawrence of Arabia,1962,unranked
14,North by Northwest,1959,79
15,Star Wars,1977,unranked
16,Schindler's List,1993,unranked
17,Shawshank Redemption,1994,unranked
18,It's a Wonderful Life,1946,unranked
19,Pulp Fiction,1994,unranked
20,City Lights,1931,unranked
21,One Flew Over the Cuckoo's Nest,1975,unranked
22,Goodfellas,1990,unranked
23,Raiders of the Lost Ark,1981,unranked
24,12 Angry Men,1957,unranked
